TimeStamp,SourceIp,DestinationIP,SourcePort,DestinationPort,Protocol,No_of_forward_packets,No_of_backward_packets,total_forward_packets_length,total_backward_packets_length,Max_forward_packet_length,Min_forward_packet_length,Max_backward_packet_length,Min_backward_packet_length,Mean_forward_packet_length,Mean_backward_packet_lenght,Flow_duration,Inter_arrival_time,Mean_inter_arrival_time,Rev_Flag,CWE_Flag,ECE_Flag,URG_Flag,ACK_Flag,PSH_Flag,RST_Flag,SYN_Flag,FIN_Flag,FTPFlag,SSHFlag,Label
24/03/2024 23:12:34.566300, 192.168.113.169, 192.168.113.7,53,51461,17,1,1,66,178,66,66,178,0,178.0,66.0,0.0245,0.0245,0.01225,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:23.576900, 192.168.113.49, 91.189.91.97,46154,80,6,3,1,168,237,64,52,237,0,56.0,237.0,0.0046,0.004600000000000001,0.0011500000000000002,0,0,0,0,4,1,0,0,1,False,False,Benign
24/03/2024 23:12:34.799500, 2402, 2402,51334,443,6,11,14,0,0,0,0,0,0,0.0,0.0,0.2155,0.21549999999999997,0.00862,0,0,0,0,24,13,0,2,1,False,False,Benign
24/03/2024 23:12:34.583400, 192.168.113.169, 192.168.113.7,53,53049,17,1,1,66,202,66,66,202,0,202.0,66.0,0.0416,0.0416,0.0208,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:34.820500, 2402, 2402,443,51334,6,3,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,3,1,0,0,1,False,False,Benign
24/03/2024 23:12:36.820600, 192.168.113.49, 192.168.113.43,21,35714,6,9,15,580,976,70,52,86,0,65.06666666666666,64.44444444444444,8.4412,8.442,0.35175,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:36.859300, 192.168.113.49, 192.168.113.43,21,35726,6,9,15,578,976,70,52,86,0,65.06666666666666,64.22222222222223,8.4452,8.446200000000001,0.35192500000000004,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:36.864200, 192.168.113.43, 192.168.113.49,35726,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0013,0.0013,0.0004333333333333333,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:36.914800, 192.168.113.49, 192.168.113.43,21,35740,6,9,15,572,976,69,52,86,0,65.06666666666666,63.55555555555556,8.4977,8.4985,0.35410416666666666,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:36.918500, 192.168.113.43, 192.168.113.49,35740,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0002,6.666666666666667e-05,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:36.977700, 192.168.113.49, 192.168.113.43,21,35782,6,9,15,580,976,70,52,86,0,65.06666666666666,64.44444444444444,8.4999,8.500699999999998,0.35419583333333327,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:36.980300, 192.168.113.43, 192.168.113.49,35782,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0,0.0,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:37.020400, 192.168.113.49, 192.168.113.43,21,35798,6,10,16,641,1028,69,52,86,0,64.25,64.1,8.5295,8.529900000000003,0.328073076923077,0,0,0,0,25,14,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:37.021000, 192.168.113.43, 192.168.113.49,35798,21,6,1,0,52,0,52,52,0,0,52.0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,1,False,False,FTP-Brute-Force
24/03/2024 23:12:37.039400, 192.168.113.49, 192.168.113.43,21,35756,6,9,15,578,976,69,52,86,0,65.06666666666666,64.22222222222223,8.62,8.62,0.35916666666666663,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:37.044800, 192.168.113.43, 192.168.113.49,35756,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0005,0.0005,0.00016666666666666666,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:37.049700, 192.168.113.49, 192.168.113.43,21,35810,6,9,15,578,976,70,52,86,0,65.06666666666666,64.22222222222223,8.5343,8.534500000000001,0.3556041666666667,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:37.050000, 192.168.113.49, 192.168.113.43,21,35770,6,9,15,575,976,70,52,86,0,65.06666666666666,63.888888888888886,8.6029,8.6029,0.3584541666666667,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:37.050700, 192.168.113.49, 192.168.113.43,21,35800,6,9,15,575,976,70,52,86,0,65.06666666666666,63.888888888888886,8.5353,8.536100000000001,0.3556708333333334,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:37.055100, 192.168.113.43, 192.168.113.49,35810,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0006,0.0006000000000000001,0.0002,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:37.056000, 192.168.113.49, 192.168.113.43,21,35774,6,9,15,579,976,70,52,86,0,65.06666666666666,64.33333333333333,8.584,8.5846,0.3576916666666667,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:37.059000, 192.168.113.43, 192.168.113.49,35770,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0004,0.00039999999999999996,0.0001333333333333333,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:36.096100, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,6.4002,6.4002,3.2001,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:41.284100, 64, 2402,443,49664,17,2,0,0,0,0,0,0,0,0.0,0,5.1161,5.1161,2.55805,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:41.486600, 2402, 64,49664,443,17,2,0,0,0,0,0,0,0,0.0,0,0.1884,0.1884,0.0942,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:41.759300, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.2009,0.2009,0.10045,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:42.026400, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.2012,0.2012,0.1006,0,0,0,0,0,0,0,0,0,False,False,Benign
